X,X,D,D#,D,X,X,,,,,X,X,G,G#,G,X,X,,,,,X,X,S,S#,S,X,X
X,D,D,D,D,D,X,X,,,X,X,G,G,G,G,G,X,X,,,X,X,S,S,S,S,S,X
DT,D,D,D,D,D,D,X,X,X,X,G,G,G,G,G,G,G,X,X,X,X,S,S,S,S,S,S,S
D,D,D,D*,D,D,D,W,W,W,W>,G,G,G,G*,G,G,G,W<,W,W,W,S,S,S,S*,S,S,S
D,D,D,D,D,D,D,W,W,W,W,G,G,G,G,G,G,G,W,W,W,W,S,S,S,S,S,S,SB
X,D,D,D,D,D,W,W,W,W,W,W,G,G,G,G,G,W,W,W,W,W,W,S,S,S,S,S,X
X,X,D,D,D,W,W,W,W,W,W,W,W,G,G,G,W,W,W,W,W,W,W,W,S,S,S,X,X
,X,X,W^,W,W,W,W,W,W,W,W,W,W,W^,W,W,W,W,W,W,W,W,W,W,W^,X,X,
,,X,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,X,,
,,X,W,W,W,W,W,W,W,W,X,W,W,W,W,W,X,W,W,W,W,W,W,W,W,X,,
,,X,W,W,W,W,W,W,W,X,X,X,W,W,W,X,X,X,W,W,W,W,W,W,W,X,,
,X,X,W,W,W,W,W,W,X,X,X,X,X,X,X,X,X,X,X,W,W,W,W,W,W,X,,
X,X,A,A,A,W,W,W,W,X,X,X,X,X,X,X,X,X,X,X,W,W,W,W,W,W,X,,
X,A,A,A#,A,A,W,W,W,W,X,X,X,X,X,X,X,X,x,W,W,W,W,W,W,W,X,,
A,A,A,A,A,A,A,W,W,W,W,X,X,X,X,X,X,X,W,W,W,W,W,Wv,W,W,X,X,
A,A,A,A*,A,A,A,W<,W,W,W,X,X,X,X,X,X,W,W,W,W,C,C,C,C,C,C,X,X
A,A,A,A,A,A,A,W,W,W,W,X,X,X,X,X,W,W,W,W,C,C,C,C,C,C,C,C,X
X,A,A,A,A,A,W,W,W,W,W,X,X,X,X,W,W,W,W,C,C,C,C,C,C#,C,C,C,C
X,X,A,A,A,W,W,W,W,W,W,X,X,X,X,W,W,W,W,C,C,C,C,C,C,C,C,C,C
,X,X,W^,W,W,W,W,W,W,W,X,X,X,X,W,W,W,W,C,C,C,C,C,C,C,C,C,C
,,X,W,W,W,W,W,W,W,W,X,X,X,X,W,W,W,W>,C,C,C,C,C,C*,C,C,C,C
,,X,W,W,W,W,W,W,W,W,X,X,X,X,W,W,W,W,C,C,C,C,C,C,C,C,C,C
,X,X,Wv,W,W,W,W,W,W,W,X,X,X,X,W,W,W,W,C,C,C,C,C,C,C,C,C,C
X,X,L,L,L,W,W,W,W,W,W,X,X,X,X,W,W,W,W,C,C,C,C,C,C,C,C,C,C
X,L,L,L,L,L,W,W,W,W,W,X,X,X,X,X,W,W,W,W,C,C,C,C,C,C,C,C,X
L,L,L,L,L,L,L,W,W,W,W,X,X,X,X,X,X,W,W,W,W,C,C,C,C,C,C,X,X
L,L,L,L*,L,L,L,W<,W,W,W,X,X,X,X,X,X,X,W,W,W,W,W,W^,W,W,X,X,
L,L,L,L,L,L,L,W,W,W,W,X,X,X,X,X,X,X,X,W,W,W,W,W,W,W,X,,
X,L,L,L#,L,L,W,W,W,W,X,X,X,X,X,X,X,X,X,X,W,W,W,W,W,W,X,,
X,X,L,L,L,W,W,W,W,X,X,X,X,X,X,X,X,X,X,X,W,W,W,W,W,W,X,,
,X,X,W,W,W,W,W,W,X,X,X,X,W,W,W,X,X,X,W,W,W,W,W,W,W,X,,
,,X,W,W,W,W,W,W,W,X,X,W,W,W,W,W,X,W,W,W,W,W,W,W,W,X,,
,,X,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,X,,
,X,X,Wv,W,W,W,W,W,W,W,W,W,W,Wv,W,W,W,W,W,W,W,W,W,W,Wv,X,X,
X,X,B,B,B,W,W,W,W,W,W,W,W,K,K,K,W,W,W,W,W,W,W,W,T,T,T,X,X
X,B,B,B,B,B,W,W,W,W,W,W,K,K,K,K,K,W,W,W,W,W,W,T,T,T,T,T,X
BS,B,B,B,B,B,B,W,W,W,W,K,K,K,K,K,K,K,W,W,W,W,T,T,T,T,T,T,T
B,B,B,B*,B,B,B,W,W,W,W>,K,K,K,K*,K,K,K,W<,W,W,W,T,T,T,T*,T,T,T
B,B,B,B,B,B,B,X,X,X,X,K,K,K,K,K,K,K,X,X,X,X,T,T,T,T,T,T,T
X,B,B,B#,B,B,X,X,,,X,X,K,K,K#,K,K,X,X,,,X,X,T,T,T#,T,TD,X
X,X,B,B,B,X,X,,,,,X,X,K,K,K,X,X,,,,,X,X,T,T,T,X,X
,X,X,X,X,X,,,,,,,X,X,X,X,X,,,,,,,X,X,X,X,X,
